gene_id,GTEX-11P82-0006-SM-5N9FY,GTEX-11TT1-0005-SM-5NQ8Y,GTEX-12126-0006-SM-5O9B8,GTEX-12C56-0006-SM-5N9E9,GTEX-12WSE-0005-SM-5NQAE,GTEX-13CZU-0005-SM-5LU8K,GTEX-14PJP-0005-SM-7P8OM,GTEX-15DCE-0005-SM-7SB7J,GTEX-15RIF-0005-SM-7RHGH,GTEX-17EUY-0006-SM-7P8SB,GTEX-17MFQ-0006-SM-7PBXP,GTEX-183FY-0005-SM-9KNTO,GTEX-1CAMR-0006-SM-ACKV5,GTEX-1GPI7-0005-SM-A9G13,GTEX-1H1DE-0005-SM-A9SK4,GTEX-1HCU9-0005-SM-A9G1A,GTEX-1IDJF-0005-SM-ARU6P,GTEX-1JKYR-0005-SM-DHXL5,GTEX-1K2DU-0005-SM-DIPE8,GTEX-1KANA-0006-SM-9YFLB,GTEX-1LBAC-0005-SM-DIPEE,GTEX-1MJK3-0006-SM-DKPP9,GTEX-1OJC3-0006-SM-DKPP1,GTEX-1PDJ9-0006-SM-CY8GN,GTEX-1PIGE-0005-SM-DLZQM,GTEX-1PPH8-0006-SM-CY8GS,GTEX-1R9PM-0006-SM-CYPTI,GTEX-1RAZA-0006-SM-CKZO9,GTEX-1S5ZA-0005-SM-CYPS2,GTEX-1S831-0006-SM-DLHC1,GTEX-O5YT-0007-SM-32PK7,GTEX-PW2O-0006-SM-2I3DV,GTEX-QEG5-0006-SM-2I5FZ,GTEX-QESD-0006-SM-2I5G6,GTEX-R55E-0006-SM-2TC5G,GTEX-SNMC-0006-SM-2XCFE,GTEX-T5JC-0006-SM-EZ6L9,GTEX-WFG7-0005-SM-3GIKM,GTEX-WFG8-0006-SM-3GIKS,GTEX-WHSE-0006-SM-3NMBW,GTEX-WOFM-0005-SM-3MJF3,GTEX-XPT6-0006-SM-4B66Q,GTEX-XQ3S-0006-SM-4BOQ4,GTEX-ZTX8-0006-SM-4YCE4,GTEX-ZVTK-0006-SM-57WBK
ENSG00000223972.5,9,1,0,0,0,0,0,0,0,5,3,0,0,0,3,1,0,4,0,0,14,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,4
ENSG00000227232.5,148,89,395,91,113,101,76,100,57,43,131,147,64,93,130,50,194,81,36,84,245,160,214,91,103,269,209,50,115,126,183,25,61,29,44,151,116,138,112,74,180,61,110,112,78
ENSG00000278267.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243485.5,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2
ENSG00000237613.2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
ENSG00000268020.3,0,0,1,1,0,0,3,0,0,3,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,1,3,0,2,0,0,0,0,0,0,1,0
ENSG00000240361.1,0,0,1,0,0,1,0,0,1,5,1,2,1,3,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,1,1,0,0,0,0,3,1,0,0,0,1
ENSG00000186092.4,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,1,1,10,2,2,1,0,0,1,1,1,0
ENSG00000238009.6,16,10,3,22,2,51,13,3,12,13,82,7,37,164,42,22,49,8,3,64,68,18,113,17,64,28,4,9,5,154,1,5,4,11,3,37,2,101,15,5,29,5,2,20,2
ENSG00000233750.3,164,176,4,114,8,331,152,93,472,174,199,255,247,311,222,103,340,48,109,203,49,135,316,273,177,323,87,65,92,346,39,21,130,33,31,197,36,157,91,1,254,164,18,292,25
ENSG00000268903.1,4927,4063,1664,3844,555,4578,6642,1712,5761,3144,5313,7041,6221,4922,8650,3529,4866,2764,3450,3091,1359,8358,5774,5982,4933,12339,3290,1208,2910,3844,4839,969,4034,2446,720,2797,2692,4193,3293,1671,5625,3627,3660,5792,608
ENSG00000269981.1,3170,2955,473,2152,368,1873,4360,1179,2760,1448,3545,2395,3475,3442,3043,2091,2963,1405,1794,1261,579,4655,2611,2656,1250,3349,1118,871,1349,1362,2536,844,3263,2439,552,1080,1626,1425,1714,1151,3620,2245,1602,2532,318
ENSG00000239906.1,113,128,54,65,7,94,88,58,76,49,123,116,129,112,114,69,115,43,70,60,31,114,132,106,41,101,51,22,70,51,197,9,64,184,19,105,27,85,100,59,118,92,52,146,20
ENSG00000241860.6,124,78,30,30,36,49,220,34,93,33,49,37,26,65,56,41,60,16,35,57,46,40,257,42,20,41,40,90,34,180,43,55,44,61,53,62,10,42,29,69,31,39,46,55,25
ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,6,7,0,2,9,6,1,3,12,18,6,5,1,1,6,25,8,0,1,10,15,39,1,13,0,7,1,0,1,2,1,7,12,3,7,1,10,0,1,11,9,2,10,0,9
ENSG00000279457.4,113,334,232,254,243,183,194,156,212,157,287,216,214,221,203,193,296,244,86,121,126,281,229,368,92,334,291,93,317,195,247,154,149,119,230,82,366,219,206,240,359,205,437,365,65
ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463.9,139,206,20,198,25,87,244,79,945,142,203,862,525,545,83,123,349,64,206,245,39,148,265,449,144,49,123,43,112,350,107,38,20,14,24,281,24,124,245,37,368,271,43,110,13
ENSG00000236679.2,4,3,0,1,0,0,0,0,9,2,1,1,2,2,1,3,2,1,0,3,0,7,0,3,2,6,0,0,5,1,0,0,0,0,0,10,1,5,3,0,1,1,0,3,0
ENSG00000236743.1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0
ENSG00000237094.11,168,58,16,26,17,50,95,29,54,53,61,43,47,26,32,45,32,23,35,24,19,34,143,42,7,7,16,3,15,32,6,120,93,322,14,18,20,28,44,26,74,37,25,47,20
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0
ENSG00000278566.1,0,0,2,0,1,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,3,2,2,2,2,0,0,1,0,1,3,0,3,3
ENSG00000233653.3,0,0,0,0,0,3,1,0,6,2,1,1,0,2,1,0,1,0,1,0,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0
