,number_of_edges,number_of_nodes,number_connected_components,average_clustering_coefficient,diameter,average_shortest_path_length
class3_male,16350,5634,1389,0.22600725174137784,NA,NA
class4_male,42519,9447,1310,0.24184343863831856,NA,NA
class4_female,129796,10700,998,0.2977453604102933,NA,NA
class5_female,8131,6022,1605,0.1740530190684202,NA,NA
class8_male,158359,9062,1039,0.26244021527888617,NA,NA
class2_female,8557,6838,1534,0.1366495224251039,NA,NA
class6_female,9881,6665,1419,0.17205807159834516,NA,NA
class2_male,13542,7621,1472,0.13911035921997475,NA,NA
class3_female,18430,6365,1526,0.20873270070238975,NA,NA
class1_female,28203,7811,1548,0.19868427193746213,NA,NA
class1_male,15477,8164,1352,0.17474992347291832,NA,NA
class5_male,8179,5318,1518,0.16689396502143675,NA,NA
